Date,Close,Lag_1,Lag_2,MA_5,MA_10
2018-01-16,22.67066764831543,22.4146671295166,22.530000686645508,22.43626708984375,21.920733642578124
2018-01-17,23.143999099731445,22.67066764831543,22.4146671295166,22.61586685180664,22.098266792297363
2018-01-18,22.971332550048828,23.143999099731445,22.67066764831543,22.746133422851564,22.28040008544922
2018-01-19,23.334667205810547,22.971332550048828,23.143999099731445,22.90706672668457,22.516400146484376
2018-01-22,23.437332153320312,23.334667205810547,22.971332550048828,23.111599731445313,22.7496000289917
2018-01-23,23.519332885742188,23.437332153320312,23.334667205810547,23.281332778930665,22.858799934387207
2018-01-24,23.05933380126953,23.519332885742188,23.437332153320312,23.26439971923828,22.94013328552246
2018-01-25,22.50933265686035,23.05933380126953,23.519332885742188,23.171999740600587,22.959066581726074
2018-01-26,22.856666564941406,22.50933265686035,23.05933380126953,23.07639961242676,22.991733169555665
2018-01-29,23.302000045776367,22.856666564941406,22.50933265686035,23.04933319091797,23.08046646118164
2018-01-30,23.05466651916504,23.302000045776367,22.856666564941406,22.95639991760254,23.1188663482666
2018-01-31,23.62066650390625,23.05466651916504,23.302000045776367,23.068666458129883,23.166533088684083
2018-02-01,23.28333282470703,23.62066650390625,23.05466651916504,23.22346649169922,23.1977331161499
2018-02-02,22.916667938232425,23.28333282470703,23.62066650390625,23.235466766357426,23.15593318939209
2018-02-05,22.20866775512696,22.916667938232425,23.28333282470703,23.016800308227538,23.033066749572757
2018-02-06,22.264667510986328,22.20866775512696,22.916667938232425,22.8588005065918,22.907600212097172
2018-02-07,23.0,22.264667510986328,22.20866775512696,22.734667205810545,22.901666831970218
2018-02-08,21.01533317565918,23.0,22.264667510986328,22.281067276000975,22.7522668838501
2018-02-09,20.69466781616211,21.01533317565918,23.0,21.836667251586913,22.53606700897217
2018-02-12,21.048667907714844,20.69466781616211,21.01533317565918,21.604667282104494,22.31073379516602
2018-02-13,21.577333450317383,21.048667907714844,20.69466781616211,21.467200469970702,22.163000488281252
2018-02-14,21.48733329772949,21.577333450317383,21.048667907714844,21.1646671295166,21.949667167663574
2018-02-15,22.271333694458008,21.48733329772949,21.577333450317383,21.415867233276366,21.84846725463867
2018-02-16,22.36599922180176,22.271333694458008,21.48733329772949,21.750133514404297,21.793400382995607
2018-02-20,22.31800079345703,22.36599922180176,22.271333694458008,22.004000091552733,21.804333686828613
2018-02-21,22.21999931335449,22.31800079345703,22.36599922180176,22.132533264160156,21.79986686706543
2018-02-22,23.077999114990234,22.21999931335449,22.31800079345703,22.450666427612305,21.807666778564453
2018-02-23,23.46999931335449,23.077999114990234,22.21999931335449,22.6903995513916,22.053133392333983
2018-02-26,23.827999114990234,23.46999931335449,23.077999114990234,22.982799530029297,22.366466522216793
2018-02-27,23.39933204650879,23.827999114990234,23.46999931335449,23.19906578063965,22.601532936096188
2018-02-28,22.87066650390625,23.39933204650879,23.827999114990234,23.32919921875,22.730866241455075
2018-03-01,22.062000274658203,22.87066650390625,23.39933204650879,23.125999450683594,22.78833293914795
2018-03-02,22.341333389282227,22.062000274658203,22.87066650390625,22.900266265869142,22.79533290863037
2018-03-05,22.22333335876465,22.341333389282227,22.062000274658203,22.579333114624024,22.78106632232666
2018-03-06,21.8799991607666,22.22333335876465,22.341333389282227,22.275466537475587,22.737266159057615
2018-03-07,22.15333366394043,21.8799991607666,22.22333335876465,22.131999969482422,22.73059959411621
2018-03-08,21.940000534057617,22.15333366394043,21.8799991607666,22.107600021362305,22.616799736022948
2018-03-09,21.81133270263672,21.940000534057617,22.15333366394043,22.001599884033205,22.450933074951173
2018-03-12,23.03400039672852,21.81133270263672,21.940000534057617,22.163733291625977,22.371533203125
2018-03-13,22.78933334350586,23.03400039672852,21.81133270263672,22.345600128173828,22.310533332824708
2018-03-14,21.775333404541016,22.78933334350586,23.03400039672852,22.270000076293947,22.201000022888184
2018-03-15,21.706666946411133,21.775333404541016,22.78933334350586,22.22333335876465,22.165466690063475
2018-03-16,21.42333221435547,21.706666946411133,21.775333404541016,22.145733261108397,22.0736665725708
2018-03-19,20.90399932861328,21.42333221435547,21.706666946411133,21.719733047485352,21.941733169555665
2018-03-20,20.703332901000977,20.90399932861328,21.42333221435547,21.302532958984376,21.8240665435791
2018-03-21,21.10199928283692,20.703332901000977,20.90399932861328,21.167866134643553,21.718933105468754
2018-03-22,20.606666564941406,21.10199928283692,20.703332901000977,20.94786605834961,21.585599708557133
2018-03-23,20.1026668548584,20.606666564941406,21.10199928283692,20.683732986450195,21.4147331237793
2018-03-26,20.27866744995117,20.1026668548584,20.606666564941406,20.558666610717772,21.139199829101564
2018-03-27,18.61199951171875,20.27866744995117,20.1026668548584,20.140399932861328,20.72146644592285
2018-03-28,17.185333251953125,18.61199951171875,20.27866744995117,19.35706672668457,20.262466430664062
2018-03-29,17.742000579833984,17.185333251953125,18.61199951171875,18.784133529663087,19.86599979400635
2018-04-02,16.832000732421875,17.742000579833984,17.185333251953125,18.13000030517578,19.40686664581299
2018-04-03,17.8353328704834,16.832000732421875,17.742000579833984,17.641333389282227,19.1
2018-04-04,19.12933349609375,17.8353328704834,16.832000732421875,17.744800186157228,18.942600059509278
2018-04-05,20.381332397460938,19.12933349609375,17.8353328704834,18.38400001525879,18.87053337097168
2018-04-06,19.953332901000977,20.381332397460938,19.12933349609375,18.826266479492187,18.805200004577635
2018-04-09,19.310667037963867,19.953332901000977,20.381332397460938,19.321999740600585,18.726000022888183
2018-04-10,20.31333351135254,19.310667037963867,19.953332901000977,19.817599868774415,18.72946662902832
2018-04-11,20.062000274658203,20.31333351135254,19.310667037963867,20.004133224487305,18.874466705322266
2018-04-12,19.60533332824707,20.062000274658203,20.31333351135254,19.84893341064453,19.11646671295166
2018-04-13,20.022666931152344,19.60533332824707,20.062000274658203,19.862800216674806,19.344533348083495
2018-04-16,19.41399955749512,20.022666931152344,19.60533332824707,19.883466720581055,19.60273323059082
